1, 10,	22,   68,  71245.70974
2, 20,	23,   65,  71676.3955  
3, 30,	23,   66,  71676.3955
4, 40,	21,   68,  71225.67087  
5, 50,	24,   69,  73545.978243



#    "Three-level Index"     "Three-level Index + LORS"   "Two-level Index"      "No Index"
#10	20	                    22                           22                     94 
#20	20	                    20                           24   	                91  
#30	19	                    20                           22                     91
#40	20	                    21                           25   	                96  
#50	19	                    20                           22   	                94


